ticker,name,price,marketcap,volume,volumeavg,priceopen,low,high,close,change,changepct,closeyest,date,high52,low52,beta,shares,pe,eps,sector,industry,description,exchange,ceo,country,ipodate,isEtf,isFund,isActive,web_url,image,currency,employees,city,state,phone,address,dividend_yield,fetched_at
TSLL,Direxion Daily TSLA Bull 2X Shares,16.84,5130427904,127619817,85428461,16.2075,15.71,17.415,16.84,0.879999999999999,5.5138,15.96,2026-05-13,23.74,8.86,3.22,,80.88055,,,,"The fund, under normal circumstances, invests at least 80% of its net assets (plus any borrowings for investment purposes) in the securities of TSLA and financial instruments, such as swap agreements and options, that provide leveraged exposure to TSLA. The fund is non-diversified.",NGM,,,,TRUE,FALSE,TRUE,,,USD,,,,866-476-7523,,7.77,2026-05-13T22:58:54
SPY,State Street SPDR S&P 500 ETF Trust,742.31,735060819968,37500556,75096036,738.47,735.47,743.89,742.31,4.1299999999999955,0.5595,738.18,2026-05-13,743.89,575.6,1.0,917782016,27.8863,,,,"The trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the “Portfolio”), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index.",PCX,,,,TRUE,FALSE,TRUE,,,USD,,,,,,1.03,2026-05-13T22:58:54
^TNX,CBOE Interest Rate 10 Year T No,4.481,,0,0,4.465,4.461,4.5,4.481,0.01799969999999984,0.4033,4.4630003,2026-05-13,4.997,3.345,,,,,,,,CGI,,,,FALSE,FALSE,TRUE,,,USD,,,,,,,2026-05-13T22:58:54
SPX,,,,,150100,,,,,,,,2026-05-13,0.05,0.045,,,,,,,,YHD,,,,FALSE,TRUE,TRUE,,,,,,,,,,2026-05-13T22:58:54
GC=F,Gold Jun 26,4704.1,,1040,2115,4696.8,4695.5,4707.0,4704.1,-2.5999999999994543,-0.0552,4706.7,2026-05-13,5586.2,3125.0,,,,,,,,CMX,,,,FALSE,FALSE,TRUE,,,USD,,,,,,,2026-05-13T22:58:54
BTC-USD,Bitcoin USD,79411.44,1590472998912,33900804096,37700153165,80473.984,78742.805,81265.375,79411.44,-1062.5439999999944,-1.3204,80473.984,2026-05-13,126198.07,60074.203,,,,,,,,CCC,,,,FALSE,FALSE,TRUE,https://bitcoin.org/,,USD,,,,,,,2026-05-13T22:58:54
SPXS,Direxion Daily S&P 500 Bear 3X Shares,27.32,388086432,9872676,16774938,27.76,27.1385,28.0899,27.32,-0.4400000000000013,-1.585,27.76,2026-05-13,58.6,27.1385,-2.75,,,,,,"The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, including swap agreements, futures contracts, or short positions, that, in combination, provide 3X daily inverse (opposite) or short exposure to the index or to exchange-traded funds (“ETFs”) that track the index, consistent with the fund’s investment objective. The index is a float-adjusted, market capitalization-weighted index. The fund is non-diversified.",PCX,,,,TRUE,FALSE,TRUE,,,USD,,,,866-476-7523,,4.29,2026-05-13T22:58:54
MSFT,Microsoft Corporation,405.21,3010076082176,27753784,34063561,402.97,401.03,406.31,405.21,-2.5600000000000023,-0.6278,407.77,2026-05-13,555.45,356.28,1.093,7428434704,24.119644,16.8,Technology,Software - Infrastructure,"Microsoft Corporation develops and supports software, services, devices, and solutions worldwide. The Productivity and Business Processes segment offers Microsoft 365 commercial, enterprise mobility + security, windows commercial, power BI, exchange, sharepoint, Microsoft teams, security and compliance, and copilot; Microsoft 365 commercial products, such as Windows commercial on-premises and office licensed services; Microsoft 365 consumer products and cloud services, including Microsoft 365 consumer subscriptions, office licensed on-premises, and other consumer services; LinkedIn; dynamics products and cloud services, such as dynamics 365, cloud-based applications, and on-premises ERP and CRM applications. Its Intelligent Cloud segment provides Server products and cloud services comprising Azure and other cloud services, GitHub, Nuance Healthcare, virtual desktop offerings, and other cloud services; server products, including SQL and windows server, visual studio and system center re",NMS,Mr. Satya  Nadella,United States,,FALSE,FALSE,TRUE,https://www.microsoft.com,,USD,228000,Redmond,WA,425 882 8080,One Microsoft Way,0.89,2026-05-13T22:58:54
VIX,,,,,82483,,,,,,,,2026-05-13,9400.0,9100.0,,,,,,,,YHD,,,,FALSE,TRUE,TRUE,,,,,,,,,,2026-05-13T22:58:54
MSFD,Direxion Daily MSFT Bear 1X Shares,13.44,41995696,1537799,1869641,13.52,13.3999,13.56,13.44,0.09999999999999964,0.7496,13.34,2026-05-13,15.33,10.06,-1.04,,,,,,"The fund, under normal circumstances, invests at least 80% of the it’s net assets (plus borrowings for investment purposes) in financial instruments, including swap agreements and options, that, in combination, provide 1X daily inverse (opposite) or short exposure to MSFT, consistent with the fund’s investment objective. It is non-diversified.",NGM,,,,TRUE,FALSE,TRUE,,,USD,,,,866-476-7523,,2.68,2026-05-13T22:58:54
SPYU,MAX S&P 500 4X Leveraged ETN,33.89,482120640,651995,1840555,33.21,32.7,34.18,33.89,0.6700000000000017,2.0169,33.22,2026-05-13,34.18,16.68,0.0,,,,,,"The notes are intended to be daily trading tools for sophisticated investors to manage daily trading risks as part of an overall diversified portfolio. They are designed to achieve their stated investment objectives on a daily basis. The notes are designed to reflect a 4x leveraged long exposure to the performance of the index on a daily basis (as described below), before taking into account the negative effect of the Daily Investor Fee, the Daily Financing Charge and the Redemption Fee Amount, if applicable.",PCX,,,,TRUE,FALSE,TRUE,,,USD,,,,,,0.0,2026-05-13T22:58:54
AMZU,Direxion Daily AMZN Bull 2X Shares,44.2,436437696,2483382,3264543,42.235,42.0,44.405,44.2,1.3599999999999994,3.1746,42.84,2026-05-13,47.14,24.54,2.86,,32.822796,,,,"The fund will enter into one or more swap agreements with major global financial institutions whereby the fund and the global financial institution will agree to exchange the return earned on an investment by The fund invests in AMZN that is equal, on a daily basis, to 200% of the value of the fund's net assets. It is non-diversified.",NGM,,,,TRUE,FALSE,TRUE,,,USD,,,,866-476-7523,,4.93,2026-05-13T22:58:54
RKT,"Rocket Companies, Inc.",13.84,39159308288,28372882,25942113,14.52,13.8,14.56,13.84,-0.9600000000000009,-6.4865,14.8,2026-05-13,24.36,12.03,2.247,980550267,12.721056,-0.03,Financial Services,Mortgage Finance,"Rocket Companies, Inc., a fintech company, engages in the mortgage, real estate, and personal finance businesses in the United States and Canada. It operates in two segments, Direct to Consumer and Partner Network. The company offers Rocket Mortgage, a mortgage lender service; Redfin, a digital real estate brokerage and home search platform; Rocket Close, a digital experience for appraisal management, settlement, and title services; Rocket Money, a finance app that offers a suite of financial wellness services including subscription cancellation, budget management and credit score improvement; and Rocket Loans, a platform for personal loan. It also originates, closes, sells, and services agency-conforming loans; and provides Rocket Pro that works with mortgage brokers, community banks, and credit unions, to maintain own brand and client relationships. Rocket Companies, Inc. was founded in 1985 and is headquartered in Detroit, Michigan. Rocket Companies, Inc. was formerly a subsidiary o",NYQ,Mr. Varun  Krishna,United States,,FALSE,FALSE,TRUE,https://www.rocketcompanies.com,,USD,23500,Detroit,MI,313 373 7990,1050 Woodward Avenue,0.0,2026-05-13T22:58:54
VELO,"Velo3D, Inc.",21.01,625851136,16056270,2326926,16.7,16.6107,21.6,21.01,6.950000000000001,49.431,14.06,2026-05-13,23.84,2.81,2.273,29788250,,-4.33,Technology,Computer Hardware,"Velo3D, Inc. produces and sells metal additive three-dimensional printers in the Americas, Europe, and internationally. Its printers enable the production of components for space rockets, jet engines, fuel delivery systems, and other metal parts. The company also offers Flow, a proprietary software platform, which scans part designs for geometrical features; Sapphire, Sapphire 1MZ, Sapphire XC, and Sapphire XC 1MZ printers; Assure, a quality assurance software platform; Developer, a new version of print preparation software that turns traditional design files into print files; and Intelligent Fusion, the underlying manufacturing process that binds and facilitates all aspects of the Velo3D fully integrated solution. It serves companies in the space, aviation, defense, automotive, energy, and industrial markets. The company was founded in 2014 and is headquartered in Fremont, California. Velo3D, Inc. operates as a subsidiary of Arrayed Additive inc.",NCM,Mr. Arun  Jeldi,United States,,FALSE,FALSE,TRUE,https://www.velo3d.com,,USD,134,Fremont,CA,408 610 3915,2710 Lakeview Court,0.0,2026-05-13T22:58:54
BIGGQ,"Former BL Stores, Inc.",0.0007,20785,405,11030,0.0005,0.0005,0.0005,0.0007,0.0004,133.3333,0.0003,2026-05-13,0.09,0.0001,1.467,29694012,-6.5481756e-05,-15.9,Consumer Defensive,Discount Stores,"Former BL Stores, Inc., through its subsidiaries, operates as a home discount retailer in the United States. The company offers products under various merchandising categories, such as furniture category that includes upholstery, mattresses, home décor, case goods, and ready-to-assemble departments; seasonal category, which comprises patio furniture, gazebos, Christmas trim, lawn and garden, and other holiday departments; soft home category consists of apparel, hosiery, jewelry; frames, fashion and utility bedding, bath, window, decorative textiles, and area rugs departments; and food category that includes beverages and grocery, specialty foods, and candy and snacks departments. It also provides merchandise under the consumables category, which comprises health, beauty and cosmetics, plastics, paper, pet, infant, stationery, and chemical departments; and hard home category, including small appliances, tabletops, food preparation products, home maintenance and organization products, to",PNK,Mr. Bruce K. Thorn,United States,,FALSE,FALSE,TRUE,https://www.biglots.com,,USD,10000,Columbus,OH,614 278 6800,4900 East Dublin Granville Road,0.0,2026-05-13T22:58:54
SOFI,"SoFi Technologies, Inc.",15.31,19638769664,57663409,66520816,15.69,15.215,15.7,15.31,-0.5899999999999999,-3.7107,15.9,2026-05-13,32.73,12.74,2.126,1282741200,34.022224,0.45,Financial Services,Credit Services,"SoFi Technologies, Inc. provides various financial services in the United States, Latin America, Canada, and Hong Kong. The company operates through three segments: Lending, Technology Platform, and Financial Services. It offers lending and financial services and products that allows its members to borrow, save, spend, invest, and protect money; and personal loans, student loans, home loans, and related services. The company also operates Galileo, a technology platform that offers services to financial and non-financial institution; and Technisys, a cloud-native digital and core banking platform that provides software licenses and associated services, including implementation and maintenance. In addition, it provides SoFi Money offers checking and savings accounts, and cash management products; SoFi Invest, a mobile-first investment platform that offers access to trading and advisory solutions, such as investing and robo-advisory; and SoFI Crypto, a new digital asset trading platform. ",NMS,Mr. Anthony J. Noto,United States,,FALSE,FALSE,TRUE,https://www.sofi.com,,USD,6100,San Francisco,CA,855 456 7634,234 1st Street,0.0,2026-05-13T22:58:54
SOXL,Direxion Daily Semiconductor Bull 3X Shares,184.24,17318807552,57075304,82739401,183.835,172.26,188.488,184.24,11.719999999999999,6.7934,172.52,2026-05-13,191.29,15.1,7.1,,138.68674,,,,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified.",PCX,,,,TRUE,FALSE,TRUE,,,USD,,,,866-476-7523,,0.06,2026-05-13T22:58:54
NRGU,Microsectors U.S. Big Oil 3x Leveraged ETNs,36.02,62244008,68179,225106,36.67,35.28,36.67,36.02,-0.28999999999999915,-0.7987,36.31,2026-05-13,53.08,13.79,0.0,,17.332842,,,,"The ETNs are senior unsecured medium-term notes issued by Bank of Montreal with a return linked to a three times leveraged participation in the inverse performance of the index, compounded daily, minus the Daily Investor Fee and, if applicable, the Redemption Fee Amount plus the Daily Interest (which could be negative).",PCX,,,,TRUE,FALSE,TRUE,,,USD,,,,,,0.0,2026-05-13T22:58:54
META,"Meta Platforms, Inc.",616.63,1565267984384,14535004,15459578,598.81,596.6601,619.9,616.63,13.629999999999995,2.2604,603.0,2026-05-13,796.25,520.26,1.243,2196045588,22.422909,27.5,Communication Services,Internet Content & Information,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) headsets, and AI glasses in the United States, Canada, Europe, Asia-Pacific, and internationally. It operates through two segments, Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers Facebook, which enables people to build community through feed, reels, stories, groups, marketplace, and other; Instagram that brings people closer through Instagram feed, stories, reels, live, and messaging; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; Meta AI, an assistant that's available across apps, as a stand-alone app, on AI glasses, and on the web; Threads, an application for text-based updates and public conversations; and WhatsApp, a messaging application that is used ",NMS,Mr. Mark Elliot Zuckerberg,United States,,FALSE,FALSE,TRUE,https://www.meta.com,,USD,77986,Menlo Park,CA,650 543 4800,1 Meta Way,0.35,2026-05-13T22:58:54
SQQQ,ProShares UltraPro Short QQQ,41.99,2914249216,60505356,59034508,42.87,41.6,43.765,41.99,-1.3200000000000003,-3.0478,43.31,2026-05-13,128.45,41.6,-3.08,,,,,,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the Daily Target. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified.",NGM,,,,TRUE,FALSE,TRUE,,,USD,,,,,,8.99,2026-05-13T22:58:54
DOGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,ProShares Short S&P500,33.41,1181748992,5292768,13271106,33.58,33.3347,33.7161,33.41,-0.18000000000000682,-0.5359,33.59,2026-05-13,42.89,33.3347,-0.96,,,,,,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the Daily Target. The index is designed to measure the performance of 500 of the largest companies listed and domiciled in the U.S. Under normal circumstances, the fund will obtain inverse exposure to at least 80% of its total assets in components of the index or in instruments with similar economic characteristics. The fund is non-diversified.",PCX,,,,TRUE,FALSE,TRUE,,,USD,,,,,,4.32,2026-05-13T22:58:54
